"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00004806",256,22,2,3,9,0,0,2,12,50,103,23,13,10,6,0,1,33.9296875,32,8.59375,0.78125,1.171875,3.515625,0,0,0.78125,4.6875,19.53125,40.234375,8.984375,5.078125,3.90625,2.34375,0,0.390625
"E00004807",246,17,8,7,16,3,6,2,18,31,69,23,7,21,9,5,4,35.650406504065,32,6.91056910569106,3.2520325203252,2.84552845528455,6.50406504065041,1.21951219512195,2.4390243902439,0.813008130081301,7.31707317073171,12.6016260162602,28.0487804878049,9.34959349593496,2.84552845528455,8.53658536585366,3.65853658536585,2.03252032520325,1.6260162601626
"E00004808",230,4,1,0,3,0,3,3,44,74,50,19,1,13,12,2,1,34.9,29,1.73913043478261,0.434782608695652,0,1.30434782608696,0,1.30434782608696,1.30434782608696,19.1304347826087,32.1739130434783,21.7391304347826,8.26086956521739,0.434782608695652,5.65217391304348,5.21739130434783,0.869565217391304,0.434782608695652
"E00004809",253,13,8,7,11,4,3,3,10,25,64,38,19,28,13,4,3,40.600790513834,36,5.13833992094862,3.16205533596838,2.76679841897233,4.34782608695652,1.58102766798419,1.18577075098814,1.18577075098814,3.95256916996047,9.88142292490119,25.296442687747,15.0197628458498,7.5098814229249,11.0671936758893,5.13833992094862,1.58102766798419,1.18577075098814
"E00004810",295,22,7,3,8,2,1,2,5,49,109,40,11,17,14,4,1,37.5830508474576,35,7.45762711864407,2.3728813559322,1.01694915254237,2.71186440677966,0.677966101694915,0.338983050847458,0.677966101694915,1.69491525423729,16.6101694915254,36.9491525423729,13.5593220338983,3.72881355932203,5.76271186440678,4.74576271186441,1.35593220338983,0.338983050847458
"E00004811",270,13,5,4,10,1,1,2,27,39,100,38,11,11,5,3,0,35.2074074074074,32,4.81481481481481,1.85185185185185,1.48148148148148,3.7037037037037,0.37037037037037,0.37037037037037,0.740740740740741,10,14.4444444444444,37.037037037037,14.0740740740741,4.07407407407407,4.07407407407407,1.85185185185185,1.11111111111111,0
"E00004812",358,28,13,7,20,3,11,6,34,52,88,56,13,14,10,2,1,33.3435754189944,30,7.82122905027933,3.63128491620112,1.95530726256983,5.58659217877095,0.837988826815642,3.07262569832402,1.67597765363128,9.49720670391061,14.5251396648045,24.5810055865922,15.6424581005587,3.63128491620112,3.91061452513966,2.79329608938547,0.558659217877095,0.279329608938547
"E00004813",374,27,10,7,20,1,3,3,12,37,129,59,23,21,17,2,3,37.6844919786096,36,7.2192513368984,2.67379679144385,1.8716577540107,5.3475935828877,0.267379679144385,0.802139037433155,0.802139037433155,3.20855614973262,9.89304812834225,34.4919786096257,15.7754010695187,6.14973262032086,5.61497326203209,4.54545454545455,0.53475935828877,0.802139037433155
"E00004814",209,4,5,2,1,2,1,0,4,56,79,19,11,17,6,1,1,38.2488038277512,33,1.91387559808612,2.39234449760766,0.956937799043062,0.478468899521531,0.956937799043062,0.478468899521531,0,1.91387559808612,26.7942583732057,37.799043062201,9.09090909090909,5.26315789473684,8.13397129186603,2.87081339712919,0.478468899521531,0.478468899521531
"E00004815",512,28,14,5,17,5,9,13,52,101,147,64,19,30,7,1,0,33.34765625,30,5.46875,2.734375,0.9765625,3.3203125,0.9765625,1.7578125,2.5390625,10.15625,19.7265625,28.7109375,12.5,3.7109375,5.859375,1.3671875,0.1953125,0
