"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E00004258",227,22,13,11,0,28,135,18,3,41,6,4,31,9.69162995594714,5.72687224669604,4.84581497797357,0,12.3348017621145,59.4713656387665,7.9295154185022,1.3215859030837,18.0616740088106,2.6431718061674,1.76211453744493,13.6563876651982
"E00004259",210,63,24,20,2,17,57,27,4,29,8,5,16,30,11.4285714285714,9.52380952380952,0.952380952380952,8.09523809523809,27.1428571428571,12.8571428571429,1.9047619047619,13.8095238095238,3.80952380952381,2.38095238095238,7.61904761904762
"E00004260",183,36,30,23,3,27,50,14,3,14,6,0,8,19.672131147541,16.3934426229508,12.568306010929,1.63934426229508,14.7540983606557,27.3224043715847,7.65027322404372,1.63934426229508,7.65027322404372,3.27868852459016,0,4.37158469945355
"E00004261",224,42,21,14,1,30,83,33,3,30,10,2,18,18.75,9.375,6.25,0.446428571428571,13.3928571428571,37.0535714285714,14.7321428571429,1.33928571428571,13.3928571428571,4.46428571428571,0.892857142857143,8.03571428571429
"E00004262",192,60,28,20,3,20,47,14,6,14,3,1,10,31.25,14.5833333333333,10.4166666666667,1.5625,10.4166666666667,24.4791666666667,7.29166666666667,3.125,7.29166666666667,1.5625,0.520833333333333,5.20833333333333
"E00004263",248,54,34,38,1,18,76,27,8,19,4,2,13,21.7741935483871,13.7096774193548,15.3225806451613,0.403225806451613,7.25806451612903,30.6451612903226,10.8870967741935,3.2258064516129,7.66129032258065,1.61290322580645,0.806451612903226,5.24193548387097
"E00004264",327,30,11,17,1,48,192,28,1,66,14,2,50,9.1743119266055,3.36391437308868,5.19877675840979,0.305810397553517,14.6788990825688,58.7155963302752,8.56269113149847,0.305810397553517,20.1834862385321,4.28134556574923,0.611620795107034,15.2905198776758
"E00004265",202,36,19,16,4,25,97,5,7,17,4,2,11,17.8217821782178,9.40594059405941,7.92079207920792,1.98019801980198,12.3762376237624,48.019801980198,2.47524752475248,3.46534653465347,8.41584158415842,1.98019801980198,0.99009900990099,5.44554455445545
"E00004266",276,56,30,32,4,26,110,18,9,19,7,3,9,20.2898550724638,10.8695652173913,11.5942028985507,1.44927536231884,9.42028985507246,39.8550724637681,6.52173913043478,3.26086956521739,6.88405797101449,2.53623188405797,1.08695652173913,3.26086956521739
"E00004268",256,49,29,28,4,26,102,18,6,33,9,4,20,19.140625,11.328125,10.9375,1.5625,10.15625,39.84375,7.03125,2.34375,12.890625,3.515625,1.5625,7.8125
"E00004269",203,38,15,20,4,25,88,13,3,14,4,2,8,18.7192118226601,7.38916256157635,9.85221674876847,1.97044334975369,12.3152709359606,43.3497536945813,6.40394088669951,1.47783251231527,6.89655172413793,1.97044334975369,0.985221674876847,3.94088669950739
"E00004270",371,46,32,24,2,66,147,54,9,77,24,4,49,12.3989218328841,8.62533692722372,6.46900269541779,0.539083557951483,17.7897574123989,39.622641509434,14.55525606469,2.42587601078167,20.7547169811321,6.46900269541779,1.07816711590297,13.2075471698113
"E00004271",281,26,19,23,1,27,167,18,3,38,10,3,25,9.25266903914591,6.76156583629893,8.18505338078292,0.355871886120996,9.6085409252669,59.4306049822064,6.40569395017794,1.06761565836299,13.5231316725979,3.55871886120996,1.06761565836299,8.89679715302491
"E00004272",237,23,17,21,3,13,150,10,9,11,5,0,6,9.70464135021097,7.17299578059072,8.86075949367089,1.26582278481013,5.48523206751055,63.2911392405063,4.21940928270042,3.79746835443038,4.64135021097046,2.10970464135021,0,2.53164556962025
"E00004273",328,25,11,18,3,34,217,20,3,32,6,2,24,7.6219512195122,3.35365853658537,5.48780487804878,0.914634146341463,10.3658536585366,66.1585365853659,6.09756097560976,0.914634146341463,9.75609756097561,1.82926829268293,0.609756097560976,7.31707317073171
"E00004274",250,23,16,19,3,27,151,11,5,16,4,0,12,9.2,6.4,7.6,1.2,10.8,60.4,4.4,2,6.4,1.6,0,4.8
"E00004275",178,26,10,12,0,20,102,8,2,13,7,1,5,14.6067415730337,5.61797752808989,6.74157303370786,0,11.2359550561798,57.3033707865169,4.49438202247191,1.12359550561798,7.30337078651685,3.93258426966292,0.561797752808989,2.80898876404494
"E00004276",234,34,23,23,3,24,110,17,3,14,5,0,9,14.5299145299145,9.82905982905983,9.82905982905983,1.28205128205128,10.2564102564103,47.008547008547,7.26495726495727,1.28205128205128,5.98290598290598,2.13675213675214,0,3.84615384615385
"E00004277",223,24,10,18,1,28,125,17,4,23,7,0,16,10.762331838565,4.48430493273543,8.07174887892377,0.448430493273543,12.5560538116592,56.0538116591928,7.62331838565022,1.79372197309417,10.3139013452915,3.1390134529148,0,7.17488789237668
