UID,Price,Date,Street,District,Region,Postcode,oseast1m,osnrth1m
595397,975000,09/25/2015 0:00,PRINCE OF WALES ROAD,CAMDEN,GREATER LONDON,NW53LW,528876,184684
595503,975000,03/20/2015 0:00,HOLMDALE ROAD,CAMDEN,GREATER LONDON,NW61BP,525310,185030
595555,975000,09/01/2015 0:00,LYMINGTON ROAD,CAMDEN,GREATER LONDON,NW61HX,525592,184946
595849,975000,03/02/2015 0:00,PRIORY ROAD,CAMDEN,GREATER LONDON,NW63NS,525708,184528
912150,975000,09/04/2015 0:00,TOTTENHAM STREET,CAMDEN,GREATER LONDON,W1T2AH,529482,181823
594108,972500,02/27/2015 0:00,PARLIAMENT HILL,CAMDEN,GREATER LONDON,NW32SY,527345,185730
284573,970000,09/25/2015 0:00,SAFFRON HILL,CAMDEN,GREATER LONDON,EC1N8QX,531388,181995
515669,970000,03/16/2015 0:00,MAKEPEACE AVENUE,CAMDEN,GREATER LONDON,N66EU,528550,186805
594233,970000,04/20/2015 0:00,KING HENRYS ROAD,CAMDEN,GREATER LONDON,NW33RP,527774,184253
594240,970000,01/12/2015 0:00,BELSIZE AVENUE,CAMDEN,GREATER LONDON,NW34AE,527110,185047
594249,970000,03/27/2015 0:00,BELSIZE AVENUE,CAMDEN,GREATER LONDON,NW34BL,526971,184982
594402,970000,10/23/2015 0:00,ENGLANDS LANE,CAMDEN,GREATER LONDON,NW34YD,527527,184564
595632,970000,10/16/2015 0:00,INGLEWOOD ROAD,CAMDEN,GREATER LONDON,NW61QT,525408,185073
595805,970000,02/16/2015 0:00,HIGHFIELD MEWS,CAMDEN,GREATER LONDON,NW63GB,525599,184443
595823,970000,09/03/2015 0:00,GOLDHURST TERRACE,CAMDEN,GREATER LONDON,NW63HS,526158,184154
595738,968000,01/09/2015 0:00,DYNHAM ROAD,CAMDEN,GREATER LONDON,NW62NR,525278,184319
927632,967500,01/23/2015 0:00,DOUGHTY MEWS,CAMDEN,GREATER LONDON,WC1N2PF,530709,182167
592855,965000,08/07/2015 0:00,OVAL ROAD,CAMDEN,GREATER LONDON,NW17DE,528559,184049
594164,965000,09/11/2015 0:00,ELSWORTHY TERRACE,CAMDEN,GREATER LONDON,NW33DR,527337,184014
594234,965000,05/08/2015 0:00,KING HENRYS ROAD,CAMDEN,GREATER LONDON,NW33RP,527774,184253
594301,965000,04/16/2015 0:00,BELSIZE PARK GARDENS,CAMDEN,GREATER LONDON,NW34LH,527144,184828
594514,965000,10/05/2015 0:00,FROGNAL,CAMDEN,GREATER LONDON,NW36AG,526272,185148
594313,962500,08/28/2015 0:00,HOWITT ROAD,CAMDEN,GREATER LONDON,NW34LT,527331,184975
592856,962000,02/23/2015 0:00,OVAL ROAD,CAMDEN,GREATER LONDON,NW17DE,528559,184049
594350,960000,03/30/2015 0:00,STEELES ROAD,CAMDEN,GREATER LONDON,NW34SA,527644,184523
595356,960000,06/18/2015 0:00,ALMA STREET,CAMDEN,GREATER LONDON,NW53DJ,528838,184835
